meal_id,username,meal_name,meal_date,meal_type,calories,protein,fat,sugar
1,lacey_valenta,Paleo Breakfast Casserole Recipe In A Mug,2023-03-03,breakfast,521,44,17,13
2,lacey_valenta,Maharashtrian Batatyacha Kees Recipe (Spicy Roasted Potatoes With Peanuts),2023-03-03,lunch,418,37,11,15
3,lacey_valenta,Crispy Amla Gawar Phali Sabzi Recipe,2023-03-03,dinner,733,32,9,11
4,wendell_cervantez,Mushroom And Scrambled Egg Bagel Sandwich Recipe,2023-03-03,breakfast,713,40,16,19
5,wendell_cervantez,Mulangi Thoran Recipe - Radish Stir Fry With Coconut,2023-03-03,lunch,756,33,18,21
6,wendell_cervantez,Konkani Style Karate Batate Puddi Sagle Recipe - Bitter Gourd & Potato Curry,2023-03-03,dinner,585,40,17,16
7,tabansi_cagle,Healthy Spinach Idli Recipe (Steamed Spinach Savory Cake),2023-03-03,breakfast,647,36,10,15
8,tabansi_cagle,Chicken Barbecue Pizza Recipe ,2023-03-03,lunch,440,36,14,12
9,tabansi_cagle,Punjabi Kadhi Pakora Recipe,2023-03-03,dinner,711,37,11,17
10,maureen_yeates,Carrot Ginger Juice Recipe,2023-03-03,breakfast,620,28,16,18
11,maureen_yeates,Kandathippili Rasam Recipe - Long Pepper Rasam,2023-03-03,lunch,502,31,15,16
12,maureen_yeates,Vegetarian Sloppy Joe Recipe ,2023-03-03,dinner,585,40,9,13
13,marvelle_massa,Mixed Vegetable Sagu Recipe - Karnataka Style Vegetable Kurma Recipe,2023-03-03,breakfast,531,35,13,13
14,marvelle_massa,Awadhi Style Khatti Arbi Ka Salan Recipe - Roz Ka Khana With Figaro Olive Oil,2023-03-03,lunch,717,37,13,19
15,marvelle_massa,Fettuccine Pasta Recipe In Tomato Basil Sauce,2023-03-03,dinner,629,41,15,13
16,becse_massa,Besan Aur Pyaz Ka Cheela Recipe - Roz Ka Khana With Figaro Olive Oil,2023-03-03,breakfast,628,28,17,17
17,becse_massa,Sadya Parippu Recipe - Kerala Style Lentils,2023-03-03,lunch,438,41,18,17
18,becse_massa,Punjabi Kadhi Pakora Recipe - Delicious Punjabi Kadhi,2023-03-03,dinner,579,46,13,14
19,esteban_hoag,Ragi Oatmeal Kanji Recipe - Healthy Diabetic Porridge Recipe,2023-03-03,breakfast,528,35,18,19
20,esteban_hoag,Broccoli Chilli Noodles With Grilled Salmon Recipe,2023-03-03,lunch,640,36,15,9
21,esteban_hoag,Homemade Roasted Bell Pepper Pasta Sauce Recipe ,2023-03-03,dinner,639,36,15,14
22,chad_nalls,High Protein Spinach Basil & Cheese Omelette Recipe,2023-03-03,breakfast,570,31,14,12
23,chad_nalls,Chicken Spaghetti in Tomato Basil Sauce Recipe,2023-03-03,lunch,521,40,9,13
24,chad_nalls,Paneer Makhani Recipe-Restaurant Style Recipe,2023-03-03,dinner,653,38,17,15
25,yuri_hon,Besan Methi Paratha Recipe ,2023-03-03,breakfast,524,46,12,12
26,yuri_hon,Milagu Kozhambu Recipe,2023-03-03,lunch,697,35,11,15
27,yuri_hon,Healthy Lauki Kofta Curry Recipe | Non Fried Bottle Gourd Kofta Curry | Dhoodi Kofta,2023-03-03,dinner,802,25,9,12
28,dade_gastelum,Stuffed Yellow Moong Dal And Onion Paratha Recipe ,2023-03-03,breakfast,459,32,11,15
29,dade_gastelum,Sindhi Kadhi Recipe,2023-03-03,lunch,633,41,14,11
30,dade_gastelum,Vegetarian Pad Thai Recipe - Thai style Stir fried Vegetarian Rice Noodle Dish,2023-03-03,dinner,577,31,6,11
31,lacey_valenta,Carrot Matar Paratha Recipe,2023-03-04,breakfast,500,31,10,11
32,lacey_valenta,Gujarati Batata Pulao Recipe - Sweet And Spicy Pulao With Lentils And Potatoes,2023-03-04,lunch,664,26,10,11
33,lacey_valenta,Capsicum Curry Recipe,2023-03-04,dinner,589,39,17,10
34,wendell_cervantez,Spicy Moroccan Eggs Recipe,2023-03-04,breakfast,448,42,15,19
35,wendell_cervantez,Uttarakhand Style Black Gram Chainsoo Recipe,2023-03-04,lunch,495,44,20,14
36,wendell_cervantez,Penne Pasta In White Sauce Recipe,2023-03-04,dinner,573,40,14,13
37,tabansi_cagle,Mangalorean Style Kayi Vade Recipe (Coconut and Rice Flour Fried Bread Recipe),2023-03-04,breakfast,661,34,10,18
38,tabansi_cagle,Pazhutha Manga Pachadi Recipe - Kerala Style Ripe Mango Curry,2023-03-04,lunch,613,32,8,8
39,tabansi_cagle,Penne Pasta In White Sauce Recipe,2023-03-04,dinner,623,34,12,12
40,maureen_yeates,Instant Masala Oats Kuzhi Paniyaram Recipe,2023-03-04,breakfast,607,33,19,12
41,maureen_yeates,Khandeshi Sev Bhaji Recipe,2023-03-04,lunch,633,46,18,20
42,maureen_yeates,Pasta In Pudina Chutney Sauce - A Indian Fusion Recipe,2023-03-04,dinner,532,31,18,13
43,marvelle_massa,Aval Upma Recipe - South Indian Style Poha,2023-03-04,breakfast,737,38,12,13
44,marvelle_massa,Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),2023-03-04,lunch,600,43,12,15
45,marvelle_massa,Moroccan Roast Chicken with Apricots Recipe,2023-03-04,dinner,699,48,12,14
46,becse_massa,Spicy Quinoa Upma Recipe,2023-03-04,breakfast,536,31,17,11
47,becse_massa,Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),2023-03-04,lunch,638,34,11,12
48,becse_massa,Gujarati Biraj Recipe - Saffron Flavored Sweet Lentil Rice With Dry Fruits & Coconut,2023-03-04,dinner,619,36,13,13
49,esteban_hoag,French Toast Oatmeal Bake Recipe,2023-03-04,breakfast,422,35,17,10
50,esteban_hoag,Mexican Sizzler Recipe,2023-03-04,lunch,545,22,15,11
51,esteban_hoag,Hyderabadi Laziz Lamb Handi Recipe,2023-03-04,dinner,567,40,15,14
52,chad_nalls,Whole Wheat Chocolate Chip Pancakes With Apples Recipe,2023-03-04,breakfast,531,29,16,14
53,chad_nalls,Bhindi Huli Recipe - South Indian Style Tangy Okra,2023-03-04,lunch,465,38,14,11
54,chad_nalls,Chicken Keema Biryani Recipe,2023-03-04,dinner,524,32,15,14
55,yuri_hon,Bullseye On Toast Recipe ,2023-03-04,breakfast,587,32,22,12
56,yuri_hon,Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,2023-03-04,lunch,675,24,10,14
57,yuri_hon,Paplet Hooman Recipe - Goan Pomfret Curry,2023-03-04,dinner,730,35,14,19
58,dade_gastelum,Mango & Fruit Filled Creme Crepe Recipe,2023-03-04,breakfast,393,37,13,19
59,dade_gastelum,Chicken Mapas Recipe - Chicken in Coconut Milk Curry,2023-03-04,lunch,466,26,17,11
60,dade_gastelum,Mughlai Aloo Lajawab Recipe - Mughlai Aloo Sabzi Recipe,2023-03-04,dinner,462,42,11,14
61,lacey_valenta,Fluffy Buttermilk Pancake Recipe,2023-03-05,breakfast,610,32,16,17
62,lacey_valenta,Karnataka Special Huli Tovve Recipe,2023-03-05,lunch,616,50,15,17
63,lacey_valenta,Whole Wheat Soya Keema Kulchas,2023-03-05,dinner,641,32,16,11
64,wendell_cervantez,Tomato Jam Recipe,2023-03-05,breakfast,737,22,12,16
65,wendell_cervantez,Senai Kizhangu Gotsu Recipe - Spicy & Tangy Yam Curry Recipe,2023-03-05,lunch,701,36,14,11
66,wendell_cervantez,Vegetable Pasta Soup Recipe,2023-03-05,dinner,624,33,14,13
67,tabansi_cagle,Basil And Mushroom Toast With Thai Red Chilli Recipe,2023-03-05,breakfast,495,34,13,13
68,tabansi_cagle,One Pot Masala Vegetable Rice Recipe,2023-03-05,lunch,515,38,18,16
69,tabansi_cagle,"Barley Salad With Mint, Cucumber & Olives",2023-03-05,dinner,630,39,16,16
70,maureen_yeates,Ari Pathiri Recipe | Malabar Rice Flatbread Recipe,2023-03-05,breakfast,656,24,14,11
71,maureen_yeates,Kashmiri Style Mutton Gogji Syun Recipe - Mutton & Turnip,2023-03-05,lunch,726,30,19,11
72,maureen_yeates,Maa Ki Dal Recipe - Punjabi Style Black Urad Dal Recipe,2023-03-05,dinner,576,33,12,12
73,marvelle_massa,Eggless Bread Omelette Recipe,2023-03-05,breakfast,484,32,10,6
74,marvelle_massa,Awadhi Style Khatti Arbi Ka Salan Recipe - Roz Ka Khana With Figaro Olive Oil,2023-03-05,lunch,529,42,15,14
75,marvelle_massa,Malai Matar Paneer Recipe (Cottage Cheese & Peas In Rich Creamy Gravy),2023-03-05,dinner,624,40,14,14
76,becse_massa,Konkani Style Cabbage Sanna Polo Recipe - Savory Cabbage Dosa,2023-03-05,breakfast,526,32,16,16
77,becse_massa,Turkish Chicken Gozleme Recipe-Stuffed Spinach Chicken Bread,2023-03-05,lunch,545,36,8,12
78,becse_massa,Chettinad Vegetable Pulao Recipe,2023-03-05,dinner,731,38,19,15
79,esteban_hoag,Cream Cheese Scrambled Eggs Recipe,2023-03-05,breakfast,407,27,18,16
80,esteban_hoag,No Onion No Garlic Aloo Makhana Sabzi Recipe,2023-03-05,lunch,712,40,13,19
81,esteban_hoag,Hunase Saaru Recipe - Mysore Style Spicy Tamarind Rasam,2023-03-05,dinner,508,28,10,10
82,chad_nalls,Brown Rice Kozhukattai Recipe - Savory Brown Rice Dumplings,2023-03-05,breakfast,586,37,13,19
83,chad_nalls,Jeera Hing Aloo Recipe - No Onion No Garlic Recipe,2023-03-05,lunch,532,25,10,15
84,chad_nalls,Mutton Keema Recipe,2023-03-05,dinner,670,34,15,12
85,yuri_hon,Kodava Ellu Pajji Recipe - Sesame & Tamarind Chutney,2023-03-05,breakfast,692,37,16,8
86,yuri_hon,Honey and Sesame Tossed Flat Noodles with Toasted Tofu Recipe,2023-03-05,lunch,548,34,13,16
87,yuri_hon,Spiced Cauliflower And Almond Soup Recipe,2023-03-05,dinner,773,27,11,21
88,dade_gastelum,Andhra Style Multi Lentil Garelu (Vada Recipe),2023-03-05,breakfast,563,46,12,14
89,dade_gastelum,Pacha Payir Kulambu Recipe (South Indian Style Green Gram Curry),2023-03-05,lunch,640,38,14,14
90,dade_gastelum,Mushroom & Bean Sloppy Joe Recipe,2023-03-05,dinner,575,26,13,12
91,lacey_valenta,Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe),2023-03-06,breakfast,746,37,17,15
92,lacey_valenta,Milagu Rasam Recipe - Miriyala Charu | Pepper Rasam With Fresh Ground Rasam Powder,2023-03-06,lunch,453,39,14,10
93,lacey_valenta,Spicy Minced Chicken Keema Balls Curry Recipe,2023-03-06,dinner,472,41,11,15
94,wendell_cervantez,Chocolate Chip Oat Bran Cereal Recipe With Fruits & Nuts,2023-03-06,breakfast,613,36,14,12
95,wendell_cervantez,Mushroom Methi Brown Rice Recipe,2023-03-06,lunch,505,41,14,9
96,wendell_cervantez,Reshmi Kofta Recipe in Rich Cashew Gravy,2023-03-06,dinner,670,34,11,11
97,tabansi_cagle,Egg Dosa Recipe,2023-03-06,breakfast,459,27,13,14
98,tabansi_cagle,Rajasthani Dal Baaple Churma Recipe,2023-03-06,lunch,613,38,20,19
99,tabansi_cagle,Bajri Ki Roti Recipe,2023-03-06,dinner,440,38,11,11
100,maureen_yeates,Hot Coffee Latte Recipe,2023-03-06,breakfast,652,40,13,12
101,maureen_yeates,Dubki Wale Aloo Recipe - Potatoes In A Spicy North Indian Gravy,2023-03-06,lunch,726,30,17,7
102,maureen_yeates,Creamy Mixed Vegetable Risotto Recipe,2023-03-06,dinner,784,36,10,15
103,marvelle_massa,Thai Style Kai Jeow Moo Sab Recipe - Omelette with minced Chicken,2023-03-06,breakfast,525,42,14,11
104,marvelle_massa,Bharwa Bhindi And Pyaaz Ki Sabzi Recipe,2023-03-06,lunch,747,26,11,12
105,marvelle_massa,Aloo Bilahi Maas Recipe - Assamese Fish Curry With Potatoes And Tomatoes,2023-03-06,dinner,701,41,10,17
106,becse_massa,Eggs Benedict With Caramelised Onion And Hollandaise Sauce Recipe,2023-03-06,breakfast,599,27,15,12
107,becse_massa,Jowar Bajra Garlic Roti Recipe,2023-03-06,lunch,531,41,16,15
108,becse_massa,Carrot Beans Thoran Recipe - Kerala Thoran For Onam Sadya,2023-03-06,dinner,621,39,17,13
109,esteban_hoag,Avocado Salsa Open Multigrain Toast With Fried Egg Recipe,2023-03-06,breakfast,790,31,17,16
110,esteban_hoag,Stuffed Kathal Recipe ,2023-03-06,lunch,593,28,16,17
111,esteban_hoag,Coriander Semiya Recipe - Vermicelli Pulao,2023-03-06,dinner,389,40,12,12
112,chad_nalls,Cucumber Neer Dosa Recipe-Rice Pancake ,2023-03-06,breakfast,517,44,12,16
113,chad_nalls,Mustard Prawns In Coconut Recipe,2023-03-06,lunch,416,34,18,13
114,chad_nalls,Baked Creamy Potato Gratin Recipe,2023-03-06,dinner,667,38,13,17
115,yuri_hon,Bengali Chirer Pulao Recipe - Bengali Style Vegetable Poha,2023-03-06,breakfast,562,45,12,9
116,yuri_hon,Egg Pulao Recipe,2023-03-06,lunch,461,38,14,16
117,yuri_hon,Egg Salad Recipe With Sun Dried Tomatoes And Scallions,2023-03-06,dinner,604,40,15,15
118,dade_gastelum,Carrot Bran Breakfast Muffin Recipe,2023-03-06,breakfast,495,38,14,6
119,dade_gastelum,Mini Dal Samosa Curry/Sabzi Recipe,2023-03-06,lunch,734,27,17,11
120,dade_gastelum,Hunan Style Sweet Sour Chicken Recipe,2023-03-06,dinner,521,36,16,14
121,lacey_valenta,Oats and Coconut Muffins Recipe - Spiced with Chai Masala,2023-03-07,breakfast,539,41,15,13
122,lacey_valenta,Tomato Kurma Recipe - Thakkali Kurma For Biryani & Parotta,2023-03-07,lunch,644,34,13,18
123,lacey_valenta,Tamatar Gosht Recipe-Mutton In Tomato Curry,2023-03-07,dinner,504,45,10,14
124,wendell_cervantez,Iyengar Style Thavala Adai Recipe,2023-03-07,breakfast,353,36,15,14
125,wendell_cervantez,Rajasthani Ghasela Recipe (Besan Ka Pitta),2023-03-07,lunch,713,35,17,7
126,wendell_cervantez,Crisp Baked Tandoori Mayo Cheddar Chicken Recipe,2023-03-07,dinner,508,34,18,11
127,tabansi_cagle,Egg Lifafa Paratha Recipe,2023-03-07,breakfast,537,44,16,15
128,tabansi_cagle,Niramish Aloo Dum Recipe,2023-03-07,lunch,512,30,10,14
129,tabansi_cagle,Mushroom & Bean Sloppy Joe Recipe,2023-03-07,dinner,721,36,15,15
130,maureen_yeates,"Mushroom, Spinach & Herbs Frittata with Egg White Recipe",2023-03-07,breakfast,657,29,18,12
131,maureen_yeates,Kolhapuri Akkha Masoor Dal Recipe (Masoor Dal in Kholapuri Masala) ,2023-03-07,lunch,579,41,16,19
132,maureen_yeates,Zucchini Roll Up Lasagne Recipe,2023-03-07,dinner,736,22,12,15
133,marvelle_massa,French Toast Jam Roll Ups Recipe,2023-03-07,breakfast,720,42,10,18
134,marvelle_massa,Peanut Butter Chocolate Oatmeal Bars Recipe,2023-03-07,lunch,387,44,13,16
135,marvelle_massa,Cheese And Corn Tostadas Recipe,2023-03-07,dinner,473,40,11,20
136,becse_massa,Goan Style Sana Recipe (Soft Steamed Rice Cakes) ,2023-03-07,breakfast,718,35,9,15
137,becse_massa,Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,2023-03-07,lunch,481,39,7,14
138,becse_massa,Whole Wheat Soya Keema Kulchas,2023-03-07,dinner,765,32,8,14
139,esteban_hoag,Instant Oats Rava Idli Recipe,2023-03-07,breakfast,728,28,18,13
140,esteban_hoag,Aava Pettina Majjiga Pulusu Recipe - Andhra Style Mor Kuzhambu,2023-03-07,lunch,656,33,15,14
141,esteban_hoag,Murgh Ajmeri Recipe,2023-03-07,dinner,595,26,14,14
142,chad_nalls,Medu Vada Recipe (Traditional Fried Urad Dal Vada Using Vada Maker),2023-03-07,breakfast,659,39,9,13
143,chad_nalls,Mambhazam Pulissery Recipe,2023-03-07,lunch,678,28,14,15
144,chad_nalls,Spiced Kumbh Pulao Recipe - Spicy Mushroom Rice,2023-03-07,dinner,526,30,12,18
145,yuri_hon,"Whole Wheat Pizza With Egg, Bell Peppers And Fresh Basil Recipe",2023-03-07,breakfast,600,42,18,15
146,yuri_hon,Bhatura Recipe (Fried Puffed Yogurt Bread),2023-03-07,lunch,610,46,17,16
147,yuri_hon,Rustic Cottage Pie With Mushroom Sauce Recipe,2023-03-07,dinner,651,35,16,15
148,dade_gastelum,Cheese Walnut Toast Recipe,2023-03-07,breakfast,751,52,13,13
149,dade_gastelum,Chana Kanghou Recipe - Manipuri Style Kala Chana Sabzi,2023-03-07,lunch,771,36,14,17
150,dade_gastelum,Baked Roasted Pumpkin Penne Pasta With Tomato Basil Sauce Recipe,2023-03-07,dinner,466,44,12,6
151,lacey_valenta,Potato Pancakes Recipe,2023-03-08,breakfast,602,43,14,16
152,lacey_valenta,Konkani Style Mooga Ghushi Recipe-Sprouted Whole Green Gram In Tangy Coconut Gravy,2023-03-08,lunch,617,17,12,14
153,lacey_valenta,Chilli Coriander Fried Rice Recipe,2023-03-08,dinner,580,38,17,14
154,wendell_cervantez,Kerala Style Chakka Adai Recipe-Rice Flour and Jackfruit Flatbread,2023-03-08,breakfast,599,39,17,14
155,wendell_cervantez,Paneer Biryani Recipe,2023-03-08,lunch,581,46,18,11
156,wendell_cervantez,Meen Peera (Kerala Style Fish Recipe With Shredded Coconut),2023-03-08,dinner,482,36,7,11
157,tabansi_cagle,Methi Thalipeeth Recipe (Fresh Fenugreek Leaves Flat Bread) ,2023-03-08,breakfast,598,41,18,13
158,tabansi_cagle,Motiya Chilman Pulao Recipe - Vegetable Rice Topped With Paneer Balls,2023-03-08,lunch,744,34,13,15
159,tabansi_cagle,Roasted Tomato And Basil Bruschetta Recipe,2023-03-08,dinner,642,33,12,10
160,maureen_yeates,Oats Uttapam topped with Paneer Recipe,2023-03-08,breakfast,679,35,15,11
161,maureen_yeates,Chettinad Takkali Sadam Recipe (Chettinad Style Tomato Rice),2023-03-08,lunch,656,35,13,16
162,maureen_yeates,Roasted Zucchini Caprese Salad Rolls Recipe,2023-03-08,dinner,647,46,15,11
163,marvelle_massa,Delicious Breakfast Anda Ghotala Recipe With Butter Pav,2023-03-08,breakfast,652,37,18,10
164,marvelle_massa,Sesame Peanut Potato Mix Recipe,2023-03-08,lunch,546,33,12,12
165,marvelle_massa,Punjabi Kadhi Pakora Recipe,2023-03-08,dinner,763,24,18,12
166,becse_massa,Orange Cranberry Cupcakes Recipe,2023-03-08,breakfast,559,49,12,7
167,becse_massa,Asian Style Honey Chicken With Vegetables Recipe,2023-03-08,lunch,645,31,7,14
168,becse_massa,Pita Sandwich With Cauliflower Falafel And Roasted Vegetables Recipe,2023-03-08,dinner,772,23,16,11
169,esteban_hoag,Instant Masala Oats Kuzhi Paniyaram Recipe,2023-03-08,breakfast,552,39,13,16
170,esteban_hoag,Bharva Baingan Masala Recipe - Stuffed Brinjal Masala ,2023-03-08,lunch,740,29,13,15
171,esteban_hoag,Ultimate Potato Gratin Dauphinois,2023-03-08,dinner,557,33,16,16
172,chad_nalls,Javvarisi Dosa Recipe - Soft & Instant Sabudana Dosa Recipe,2023-03-08,breakfast,520,28,15,14
173,chad_nalls,Karnataka Style Mixed Vegetable Pulao Recipe,2023-03-08,lunch,561,36,17,15
174,chad_nalls,Moroccan Roast Chicken with Apricots Recipe,2023-03-08,dinner,479,34,9,9
175,yuri_hon,Baked Pumpkin Cream Cheese French Toast Recipe - Breakfast Bread Pudding Recipe,2023-03-08,breakfast,634,25,14,17
176,yuri_hon,Kashmiri Style Kokur Yakhni Recipe-Chicken Cooked In Yogurt,2023-03-08,lunch,635,43,18,12
177,yuri_hon,Tandoori Chickpea & Cauliflower Curry Recipe (Vegan Curry),2023-03-08,dinner,698,36,12,16
178,dade_gastelum,Crunchy Ragi And Oats Breakfast Bowl Recipe,2023-03-08,breakfast,794,39,8,15
179,dade_gastelum,Paneer Shashlik Recipe,2023-03-08,lunch,631,38,11,12
180,dade_gastelum,Maa Ki Dal Recipe - Punjabi Style Black Urad Dal Recipe,2023-03-08,dinner,452,33,16,15
181,lacey_valenta,Watermelon Carrot Radish Juice Recipe,2023-03-09,breakfast,430,39,19,15
182,lacey_valenta,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,2023-03-09,lunch,608,41,14,13
183,lacey_valenta,Spiced Watermelon Curry Recipe With Carrots & Peppers,2023-03-09,dinner,545,45,13,16
184,wendell_cervantez,Egg Muffin With Vegetables Recipe,2023-03-09,breakfast,761,34,14,16
185,wendell_cervantez,Hariyali Dum Aloo Recipe - Potatoes In Spinach Mint Curry,2023-03-09,lunch,536,37,12,11
186,wendell_cervantez,Cauliflower Paneer Kofta Curry Recipe,2023-03-09,dinner,563,33,13,16
187,tabansi_cagle,Bihari Chana Dal Puri Recipe,2023-03-09,breakfast,469,36,14,18
188,tabansi_cagle,Raw Jackfruit Burrito Recipe ,2023-03-09,lunch,614,28,13,19
189,tabansi_cagle,Dry Palak Dal Sabzi Recipe,2023-03-09,dinner,512,36,17,15
190,maureen_yeates,German Pancakes with Caramelised Apples Recipe ,2023-03-09,breakfast,688,25,14,15
191,maureen_yeates,Suran Moongphali Curry Recipe (Yam/Jimikand Curry with Peanuts),2023-03-09,lunch,637,37,13,17
192,maureen_yeates,Spicy Tacos With Creamy Apple Slaw & Crispy Sriracha Corn,2023-03-09,dinner,563,26,18,13
193,marvelle_massa,Shredded Chicken Cheese Sandwich Recipe,2023-03-09,breakfast,675,39,17,16
194,marvelle_massa,Himachali Style Pahari Aloo Palda Recipe - Potatoes In Yogurt Gravy,2023-03-09,lunch,703,31,17,16
195,marvelle_massa,Maa Ki Dal Recipe - Punjabi Style Black Urad Dal Recipe,2023-03-09,dinner,541,35,7,11
196,becse_massa,Lauki Thepla Recipe,2023-03-09,breakfast,836,26,14,13
197,becse_massa,Bengali Style Chori Recipe-Mixed Vegetable Sabzi,2023-03-09,lunch,528,45,16,18
198,becse_massa,Aavryachi Bhaji-Avarakkai Poriyal Recipe-Broad Beans Stir Fry,2023-03-09,dinner,446,28,14,18
199,esteban_hoag,Parmesan And Fresh Herbs Savoury Scones Recipe,2023-03-09,breakfast,579,25,14,17
200,esteban_hoag,Gobi and Soya Keema Recipe,2023-03-09,lunch,609,35,10,15
201,esteban_hoag,Lahsuni Dal Tadka -Moong Dal with Pumpkin,2023-03-09,dinner,770,30,13,16
202,chad_nalls,Whole Wheat Strawberry Banana Muffins Recipe,2023-03-09,breakfast,599,44,9,14
203,chad_nalls,Kathirikai Poondu Pirattal Recipe - South Indian Style Brinjal Stir Fry With Garlic,2023-03-09,lunch,655,32,15,13
204,chad_nalls,Aloo Potol Posto Recipe (Aloo Parwal in Poppy Seed Masala Recipe),2023-03-09,dinner,626,38,15,10
205,yuri_hon,Whole Wheat Homemade English Muffins Recipe,2023-03-09,breakfast,596,35,12,14
206,yuri_hon,Gobi Ke Kofte Recipe (Cauliflower Fritters In Spicy Gravy),2023-03-09,lunch,403,29,18,14
207,yuri_hon,Chilli Ginger Vegetable Tofu Stir Fry Recipe,2023-03-09,dinner,446,38,12,12
208,dade_gastelum,Rose Flavoured Golden Almond Milk Recipe - Badam Doodh,2023-03-09,breakfast,616,34,16,14
209,dade_gastelum,Bhindi With Cashews & Coconut Sabzi Recipe,2023-03-09,lunch,652,37,12,20
210,dade_gastelum,No-Bake Tangy Lemon Pie Recipe,2023-03-09,dinner,529,29,14,16
